product_collection,product_name,price
STADIUM COLLECTION,Hoodie ecru Barça,"LE 4,239.00 EGP"
STADIUM COLLECTION,Training Shirt FC Barcelona 24/25 - Junior,"LE 2,608.00 EGP"
STADIUM COLLECTION,UCL Junior away jersey 24/25 FC Barcelona - Player's Edition,"LE 9,455.00 EGP"
STADIUM COLLECTION,UCL Junior away jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,Training Shorts FC Barcelona 24/25 - Junior,"LE 2,282.00 EGP"
STADIUM COLLECTION,Hoodie crest black Barça Nike - Women,"LE 9,129.00 EGP"
STADIUM COLLECTION,UCL Men's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
ADVANCED TECH,FC Barcelona home short 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Junior home jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,FC Barcelona home shorts 24/25 - Junior,"LE 2,608.00 EGP"
ADVANCED TECH,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
ADVANCED TECH,FC Barcelona third shorts 24/25 - Player's Edition,"LE 4,891.00 EGP"
RETRO COLLECTION,1995-97's Season Jersey,"LE 4,565.00 EGP"
CRUYFF COLLECTION,FC Barcelona 1991-92 Retro Away Jersey,"LE 4,565.00 EGP"
RETRO COLLECTION,70's Retro Johan Cruyff White Shirt,"LE 4,565.00 EGP"
BARÇA BASICS COLLECTION,MESSI | Lionel Messi Official FC Barcelona Back Signed and Framed 2018-19 Home Shirt,"LE 163,026.00 EGP"
BARÇA BASICS COLLECTION,Spotify Camp Nou Seat - Model 2 - LATE DELIVERY,"LE 14,998.00 EGP"
BARÇA BASICS COLLECTION,1974/75 Retro Away Kit Jersey,"LE 4,891.00 EGP"
CLAIM COLLECTION,Hoodie Força Barça,"LE 4,239.00 EGP"
ESSENTIALS COLLECTION,T-shirt blue Força Barça,"LE 1,956.00 EGP"
ESSENTIALS COLLECTION,T-shirt red Força Barça,"LE 1,956.00 EGP"
BARÇA BASICS COLLECTION,Polo maroon Barça,"LE 2,934.00 EGP"
FESTIVAL COLLECTION,Methacrylate with grass from the last pitch at Spotify Camp Nou,"LE 5,217.00 EGP"
STADIUM COLLECTION,UCL Men's home jersey 24/25 FC Barcelona,"LE 7,499.00 EGP"
ADVANCED TECH,FC Barcelona home short 24/25 - Player's Edition,"LE 4,891.00 EGP"
STADIUM COLLECTION,UCL Junior home jersey 24/25 FC Barcelona,"LE 6,195.00 EGP"
STADIUM COLLECTION,FC Barcelona home shorts 24/25 - Junior,"LE 2,608.00 EGP"
ADVANCED TECH,UCL Men's third jersey 24/25 FC Barcelona - Player's Edition,"LE 10,760.00 EGP"
ADVANCED TECH,FC Barcelona third shorts 24/25 - Player's Edition,"LE 4,891.00 EGP"
